,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leaderboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top 25 Rankings,,,,,,,Heisman Winner,,,,,,,Ideal Drafted Team,,,,,Current Week - Maximum Points,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Place,Teams:,Total,Week 1,Week 2,,Week 3,Week 4,Week 5,Week 6,,Week 7,Week 8,Week 9,Week 10,,Week 11,Week 12,Week 13,Week 14,,Week 15 - Conference Championships,Week 16,Bowl Appearance,Heisman Winner,,Bowl Scores,Playoff Appearance,National Championship Game,Season Winners,,,Name,Week,Rank,School,,Last updated: 01/20/2026 10:14:21,,2025,Fernando Mendoza,Indiana,,QB,Junior,,# of Schools,Schools,,Current Points,,# of Schools,Schools,,Current Points,
,2,Navy,7-1,11-2,,2,Duke,7-2,9-5,,2,BYU,8-2,12-2,,2,Ohio State,9-1,12-2,,2,Jax State,7-2,9-5,,2,Ohio,6-2,9-4,,2,New Mexico,,6-2,9-4,,2,Oregon St,,1-1,2-10,,2,Ole Miss,7-1,,13-2,,2,Old Dominion,,6-2,10-3,,UConn,9-4
,3,North Texas,7-2,12-2,,3,Miami,6-2,13-3,,3,Utah,7-2,11-2,,3,Oregon,8-1,13-2,,3,Western KY,6-2,9-4,,3,Toledo,6-2,8-5,,3,San Diego St,,6-2,9-4,,,,,,,,3,Texas A&M,7-1,,11-2,,3,Troy,,6-3,8-6,,UMass,0-12
,4,East Carolina,6-2,9-4,,4,Georgia Tech,6-2,9-4,,4,Houston,6-3,10-3,,4,Michigan,7-2,9-4,,4,Louisiana Tech,5-3,8-5,,4,Miami OH,6-3,7-7,,4,UNLV,,6-3,10-4,,,,,,,,4,Alabama,7-2,,11-4,,4,Arkansas St,,5-3,7-6,,,
,5,South Florida,6-2,9-4,,5,SMU,6-2,9-4,,5,Arizona,6-3,9-4,,5,USC,7-2,9-4,,5,FIU,5-3,7-6,,5,C Michigan,5-3,7-6,,5,Fresno St,,5-3,9-4,,,,,,,,5,Oklahoma,6-2,,10-3,,5,Southern Miss,,5-3,7-6,,,
,6,Memphis,4-4,8-5,,6,Pitt,6-2,8-5,,6,Arizona St,6-3,8-5,,6,Iowa,6-3,9-4,,6,Liberty,3-5,4-8,,6,Akron,4-4,5-7,,6,Hawai'i,,5-3,9-4,,,,,,,,6,Texas,6-2,,10-3,,6,Coastal,,5-3,6-7,,,
,7,Army,4-4,7-6,,7,Louisville,4-4,9-4,,7,TCU,5-4,9-4,,7,Illinois,5-4,9-4,,7,New Mexico St,2-6,4-8,,7,Buffalo,4-4,5-7,,7,Utah State,,4-4,6-7,,,,,,,,7,Vanderbilt,6-2,,10-3,,7,Louisiana,,5-3,6-7,,,
,8,UTSA,4-4,7-6,,8,Wake Forest,4-4,9-4,,8,Iowa State,5-4,8-4,,8,Washington,5-4,9-4,,8,MTSU,2-6,3-9,,8,Kent State,4-4,5-7,,8,Air Force,,3-5,4-8,,,,,,,,8,Missouri,4-4,,8-5,,8,GA Southern,,4-4,7-6,,,
,9,Temple,3-5,5-7,,9,NC State,4-4,8-5,,9,Cincinnati,5-4,7-6,,9,Minnesota,5-4,8-5,,9,Sam Houston,1-7,2-10,,9,Ball State,3-5,4-8,,9,Wyoming,,2-6,4-8,,,,,,,,9,Tennessee,4-4,,8-5,,9,Texas St,,3-5,7-6,,,
,10,FAU,3-5,4-8,,10,California,4-4,7-6,,10,Kansas St,5-4,6-6,,10,Nebraska,4-5,7-6,,10,UTEP,1-7,2-10,,10,E Michigan,3-5,4-8,,10,Nevada,,2-6,3-9,,,,,,,,10,LSU,3-5,,7-6,,10,Marshall,,3-5,5-7,,,
,11,Rice,2-6,5-8,,11,Clemson,4-4,7-6,,11,Baylor,3-6,5-7,,11,Northwestern,4-5,7-6,,,,,,,11,Bowling Green,2-6,4-8,,11,San José St,,2-6,3-9,,,,,,,,11,Kentucky,2-6,,5-7,,11,South Alabama,,3-5,4-8,,,
,12,UAB,2-6,4-8,,12,Stanford,3-5,4-8,,12,Kansas,3-6,5-7,,12,Penn State,3-6,7-6,,,,,,,12,N Illinois,2-6,3-9,,12,Colorado St,,1-7,2-10,,,,,,,,12,Florida,2-6,,4-8,,12,App State,,2-6,5-8,,,
,13,Tulsa,1-7,4-8,,13,Florida St,2-6,5-7,,13,UCF,2-7,5-7,,13,UCLA,3-6,3-9,,,,,,,,,,,,,,,,,,,,,,,,13,Auburn,1-7,,5-7,,13,UL Monroe,,1-7,3-9,,,
,14,Charlotte,0-8,1-11,,14,North Carolina,2-6,4-8,,14,West Virginia,2-7,4-8,,14,Rutgers,2-7,5-7,,,,,,,,,,,,,,,,,,,,,,,,14,Mississippi St,1-7,,5-8,,14,Georgia St,,0-8,1-11,,,
,,,,,,15,Virginia Tech,2-6,3-9,,15,Colorado,1-8,3-9,,15,Wisconsin,2-7,4-8,,,,,,,,,,,,,,,,,,,,,,,,15,South Carolina,1-7,,4-8,,,,,,,,,
,,,,,,16,Syracuse,1-7,3-9,,16,Oklahoma St,0-9,1-11,,16,Maryland,1-8,4-8,,,,,,,,,,,,,,,,,,,,,,,,16,Arkansas,0-8,,2-10,,,,,,,,,
,,,,,,17,Boston College,1-7,2-10,,,,,,,17,Michigan St,1-8,4-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,18,Purdue,0-9,2-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
